Text,Count,Weight
Cl0451,1,0.000347826
Cl0460,1,0.000347826
Cl0468,1,0.000347826
Cl0480,1,0.000347826
Cl0493,1,0.000347826
Cl0496,1,0.000347826
Cl0501,1,0.000347826
Cl0507,1,0.000347826
Cl0514,1,0.000347826
Cl0515,1,0.000347826
Cl0520,1,0.000347826
Cl0526,1,0.000347826
Cl0533,1,0.000347826
Cl0551,1,0.000347826
Cl0553,1,0.000347826
Cl1002,1,0.000347826
Cl1008,1,0.000347826
Cl1009,1,0.000347826
Cl1015,1,0.000347826
Cl1021,1,0.000347826
Cl1026,1,0.000347826
Cl1028,1,0.000347826
Cl1031,1,0.000347826
Cl1032,1,0.000347826
Cl1035,1,0.000347826
Cl1037,1,0.000347826
Cl1039,1,0.000347826
Cl1046,1,0.000347826
Cl1050,1,0.000347826
Cl1054a,1,0.000347826
Cl1056a,1,0.000347826
Cl1057,1,0.000347826
Cl1059,1,0.000347826
Cl1060,1,0.000347826
Cl1062,1,0.000347826
Cl1065,1,0.000347826
Cl1066,1,0.000347826
Cl1075,1,0.000347826
Cl1079,1,0.000347826
Cl1084,1,0.000347826
Cl1086,1,0.000347826
Cl1091,1,0.000347826
Cl1096,1,0.000347826
Cl1097,1,0.000347826
Cl1100,1,0.000347826
Cl1101,1,0.000347826
Cl1102,1,0.000347826
Cl1103,1,0.000347826
Cl1110,1,0.000347826
Cl1116,1,0.000347826
Cl1122,1,0.000347826
Cl1126,1,0.000347826
Cl1136,1,0.000347826
Cl1140,1,0.000347826
Cl1147,1,0.000347826
Cl1155,1,0.000347826
Cl1156,1,0.000347826
Cl1160,1,0.000347826
Cl1163,1,0.000347826
Cl1177,1,0.000347826
Cl1179,1,0.000347826
Cl1181,1,0.000347826
Cl1182,1,0.000347826
Cl1183,1,0.000347826
Cl1184,1,0.000347826
Cl1193,1,0.000347826
Cl1194,1,0.000347826
Cl1199,1,0.000347826
Cl1201,1,0.000347826
Cl1204,1,0.000347826
Cl1205,1,0.000347826
Cl1206,1,0.000347826
Cl1207,1,0.000347826
Cl1215,1,0.000347826
Cl1225,1,0.000347826
Cl1226,1,0.000347826
Cl1227,1,0.000347826
Cl1229,1,0.000347826
Cl1245,1,0.000347826
Cl1246,1,0.000347826
Cl1249,1,0.000347826
Cl1253,1,0.000347826
Cl1254,1,0.000347826
Cl1259,1,0.000347826
Cl1260,1,0.000347826
Cl1261,1,0.000347826
Cl1265,1,0.000347826
Cl1266,1,0.000347826
Cl1270,1,0.000347826
Cl1271,1,0.000347826
Cl1272,1,0.000347826
Cl1279,1,0.000347826
Cl1280,1,0.000347826
Cl1284,1,0.000347826
Cl1285,1,0.000347826
Cl1286,1,0.000347826
Cl1291,1,0.000347826
Cl1292,1,0.000347826
Cl1302,1,0.000347826
Cl131,1,0.000347826
Cl1310,1,0.000347826
Cl1315,1,0.000347826
Cl131a,1,0.000347826
Cl1320,1,0.000347826
Cl1325,1,0.000347826
Cl1327,1,0.000347826
Cl1335,1,0.000347826
Cl1336,1,0.000347826
Cl1338,1,0.000347826
Cl1348,1,0.000347826
Cl1351,1,0.000347826
Cl136,1,0.000347826
Cl1362,1,0.000347826
Cl1379,1,0.000347826
Cl138,1,0.000347826
Cl1381,1,0.000347826
Cl1390,1,0.000347826
Cl1393,1,0.000347826
Cl1394,1,0.000347826
Cl1401,1,0.000347826
Cl1403,1,0.000347826
Cl1415,1,0.000347826
Cl1416,1,0.000347826
Cl1417,1,0.000347826
Cl1421,1,0.000347826
Cl143,1,0.000347826
Cl1435,1,0.000347826
Cl1436,1,0.000347826
Cl145,1,0.000347826
Cl1454,1,0.000347826
Cl1460,1,0.000347826
Cl1468,1,0.000347826
Cl1469,1,0.000347826
Cl1478,1,0.000347826
Cl1481,1,0.000347826
Cl1485,1,0.000347826
Cl1486,1,0.000347826
Cl1487,1,0.000347826
Cl1490,1,0.000347826
Cl1494,1,0.000347826
Cl1496,1,0.000347826
Cl1507,1,0.000347826
Cl1510,1,0.000347826
Cl1511,1,0.000347826
Cl1512,1,0.000347826
Cl1520,1,0.000347826
Cl1524,1,0.000347826
Cl1532,1,0.000347826
Cl1553,1,0.000347826
Cl1554,1,0.000347826
Cl1557,1,0.000347826
Cl1568,1,0.000347826
Cl1573,1,0.000347826
Cl1585,1,0.000347826
Cl1586,1,0.000347826
Cl1589,1,0.000347826
Cl1591,1,0.000347826
Cl1598,1,0.000347826
Cl1601,1,0.000347826
